Device/Package xcku115flvd1924 7/25/2014 09:49:31,,,,,,
,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region,No-Connect
AE16,DXN,NA,NA,NA,NA,NA
AE17,DXP,NA,NA,NA,NA,NA
AD17,VREFP,NA,NA,NA,NA,NA
AC16,VREFN,NA,NA,NA,NA,NA
AC17,VP,NA,NA,NA,NA,NA
AD16,VN,NA,NA,NA,NA,NA
R8,M0_0,NA,0,CONFIG,0,NA
U9,M1_0,NA,0,CONFIG,0,NA
W9,INIT_B_0,NA,0,CONFIG,0,NA
T9,M2_0,NA,0,CONFIG,0,NA
V9,CFGBVS_0,NA,0,CONFIG,0,NA
Y9,PUDC_B_0,NA,0,CONFIG,0,NA
AC9,POR_OVERRIDE,NA,NA,NA,NA,NA
AB9,DONE_0,NA,0,CONFIG,0,NA
AD9,PROGRAM_B_0,NA,0,CONFIG,0,NA
AB12,TDI_0,NA,0,CONFIG,0,NA
AF9,RDWR_FCS_B_0,NA,0,CONFIG,0,NA
AH9,D02_0,NA,0,CONFIG,0,NA
AK9,D00_MOSI_0,NA,0,CONFIG,0,NA
AG9,D03_0,NA,0,CONFIG,0,NA
AJ9,D01_DIN_0,NA,0,CONFIG,0,NA
AD12,TMS_0,NA,0,CONFIG,0,NA
AD10,CCLK_0,NA,0,CONFIG,0,NA
AC10,TCK_0,NA,0,CONFIG,0,NA
AL8,VBATT,NA,NA,NA,NA,NA
AB10,TDO_0,NA,0,CONFIG,0,NA
AL29,IO_L24P_T3U_N10_44,3U,44,HP,0,NA
AL30,IO_L24N_T3U_N11_44,3U,44,HP,0,NA
AN28,IO_T3U_N12_44,3U,44,HP,0,NA
AM29,IO_L23P_T3U_N8_44,3U,44,HP,0,NA
AN29,IO_L23N_T3U_N9_44,3U,44,HP,0,NA
AM30,IO_L22P_T3U_N6_DBC_AD0P_44,3U,44,HP,0,NA
AM31,IO_L22N_T3U_N7_DBC_AD0N_44,3U,44,HP,0,NA
AP28,IO_L21P_T3L_N4_AD8P_44,3L,44,HP,0,NA
AP29,IO_L21N_T3L_N5_AD8N_44,3L,44,HP,0,NA
AN32,IO_L20P_T3L_N2_AD1P_44,3L,44,HP,0,NA
AP33,IO_L20N_T3L_N3_AD1N_44,3L,44,HP,0,NA
AN31,IO_L19P_T3L_N0_DBC_AD9P_44,3L,44,HP,0,NA
AP31,IO_L19N_T3L_N1_DBC_AD9N_44,3L,44,HP,0,NA
AR30,IO_L18P_T2U_N10_AD2P_44,2U,44,HP,0,NA
AT30,IO_L18N_T2U_N11_AD2N_44,2U,44,HP,0,NA
AP30,IO_L17P_T2U_N8_AD10P_44,2U,44,HP,0,NA
AR31,IO_L17N_T2U_N9_AD10N_44,2U,44,HP,0,NA
AR28,IO_L16P_T2U_N6_QBC_AD3P_44,2U,44,HP,0,NA
AT28,IO_L16N_T2U_N7_QBC_AD3N_44,2U,44,HP,0,NA
AR32,IO_L15P_T2L_N4_AD11P_44,2L,44,HP,0,NA
AR33,IO_L15N_T2L_N5_AD11N_44,2L,44,HP,0,NA
AT29,IO_L14P_T2L_N2_GC_44,2L,44,HP,0,NA
AU29,IO_L14N_T2L_N3_GC_44,2L,44,HP,0,NA
AT33,IO_T2U_N12_44,2U,44,HP,0,NA
AT32,IO_L13P_T2L_N0_GC_QBC_44,2L,44,HP,0,NA
AU32,IO_L13N_T2L_N1_GC_QBC_44,2L,44,HP,0,NA
AV31,IO_L12P_T1U_N10_GC_44,1U,44,HP,0,NA
AV32,IO_L12N_T1U_N11_GC_44,1U,44,HP,0,NA
AV29,IO_T1U_N12_44,1U,44,HP,0,NA
AU30,IO_L11P_T1U_N8_GC_44,1U,44,HP,0,NA
AU31,IO_L11N_T1U_N9_GC_44,1U,44,HP,0,NA
AV33,IO_L10P_T1U_N6_QBC_AD4P_44,1U,44,HP,0,NA
AW33,IO_L10N_T1U_N7_QBC_AD4N_44,1U,44,HP,0,NA
AW29,IO_L9P_T1L_N4_AD12P_44,1L,44,HP,0,NA
AW30,IO_L9N_T1L_N5_AD12N_44,1L,44,HP,0,NA
AW31,IO_L8P_T1L_N2_AD5P_44,1L,44,HP,0,NA
AY32,IO_L8N_T1L_N3_AD5N_44,1L,44,HP,0,NA
AY30,IO_L7P_T1L_N0_QBC_AD13P_44,1L,44,HP,0,NA
AY31,IO_L7N_T1L_N1_QBC_AD13N_44,1L,44,HP,0,NA
BA30,IO_L6P_T0U_N10_AD6P_44,0U,44,HP,0,NA
BB30,IO_L6N_T0U_N11_AD6N_44,0U,44,HP,0,NA
BA32,IO_L5P_T0U_N8_AD14P_44,0U,44,HP,0,NA
BB32,IO_L5N_T0U_N9_AD14N_44,0U,44,HP,0,NA
BD29,IO_L4P_T0U_N6_DBC_AD7P_44,0U,44,HP,0,NA
BD30,IO_L4N_T0U_N7_DBC_AD7N_44,0U,44,HP,0,NA
BB31,IO_L3P_T0L_N4_AD15P_44,0L,44,HP,0,NA
BC32,IO_L3N_T0L_N5_AD15N_44,0L,44,HP,0,NA
BB29,IO_L2P_T0L_N2_44,0L,44,HP,0,NA
BC29,IO_L2N_T0L_N3_44,0L,44,HP,0,NA
BA29,IO_T0U_N12_VRP_44,0U,44,HP,0,NA
BC31,IO_L1P_T0L_N0_DBC_44,0L,44,HP,0,NA
BD31,IO_L1N_T0L_N1_DBC_44,0L,44,HP,0,NA
AL28,VREF_44,NA,44,HP,0,NA
AJ26,IO_L24P_T3U_N10_45,3U,45,HP,0,NA
AK26,IO_L24N_T3U_N11_45,3U,45,HP,0,NA
AL24,IO_T3U_N12_45,3U,45,HP,0,NA
AM24,IO_L23P_T3U_N8_45,3U,45,HP,0,NA
AM25,IO_L23N_T3U_N9_45,3U,45,HP,0,NA
AK27,IO_L22P_T3U_N6_DBC_AD0P_45,3U,45,HP,0,NA
AL27,IO_L22N_T3U_N7_DBC_AD0N_45,3U,45,HP,0,NA
AM26,IO_L21P_T3L_N4_AD8P_45,3L,45,HP,0,NA
AM27,IO_L21N_T3L_N5_AD8N_45,3L,45,HP,0,NA
AK25,IO_L20P_T3L_N2_AD1P_45,3L,45,HP,0,NA
AL25,IO_L20N_T3L_N3_AD1N_45,3L,45,HP,0,NA
AN26,IO_L19P_T3L_N0_DBC_AD9P_45,3L,45,HP,0,NA
AN27,IO_L19N_T3L_N1_DBC_AD9N_45,3L,45,HP,0,NA
AN24,IO_L18P_T2U_N10_AD2P_45,2U,45,HP,0,NA
AP24,IO_L18N_T2U_N11_AD2N_45,2U,45,HP,0,NA
AR26,IO_L17P_T2U_N8_AD10P_45,2U,45,HP,0,NA
AR27,IO_L17N_T2U_N9_AD10N_45,2U,45,HP,0,NA
AP25,IO_L16P_T2U_N6_QBC_AD3P_45,2U,45,HP,0,NA
AP26,IO_L16N_T2U_N7_QBC_AD3N_45,2U,45,HP,0,NA
AT27,IO_L15P_T2L_N4_AD11P_45,2L,45,HP,0,NA
AU27,IO_L15N_T2L_N5_AD11N_45,2L,45,HP,0,NA
AR25,IO_L14P_T2L_N2_GC_45,2L,45,HP,0,NA
AT25,IO_L14N_T2L_N3_GC_45,2L,45,HP,0,NA
AT24,IO_T2U_N12_45,2U,45,HP,0,NA
AU25,IO_L13P_T2L_N0_GC_QBC_45,2L,45,HP,0,NA
AU26,IO_L13N_T2L_N1_GC_QBC_45,2L,45,HP,0,NA
AW26,IO_L12P_T1U_N10_GC_45,1U,45,HP,0,NA
AY26,IO_L12N_T1U_N11_GC_45,1U,45,HP,0,NA
AV28,IO_T1U_N12_45,1U,45,HP,0,NA
AV26,IO_L11P_T1U_N8_GC_45,1U,45,HP,0,NA
AV27,IO_L11N_T1U_N9_GC_45,1U,45,HP,0,NA
AW25,IO_L10P_T1U_N6_QBC_AD4P_45,1U,45,HP,0,NA
AY25,IO_L10N_T1U_N7_QBC_AD4N_45,1U,45,HP,0,NA
AY27,IO_L9P_T1L_N4_AD12P_45,1L,45,HP,0,NA
BA27,IO_L9N_T1L_N5_AD12N_45,1L,45,HP,0,NA
BA24,IO_L8P_T1L_N2_AD5P_45,1L,45,HP,0,NA
BA25,IO_L8N_T1L_N3_AD5N_45,1L,45,HP,0,NA
AW28,IO_L7P_T1L_N0_QBC_AD13P_45,1L,45,HP,0,NA
AY28,IO_L7N_T1L_N1_QBC_AD13N_45,1L,45,HP,0,NA
BB24,IO_L6P_T0U_N10_AD6P_45,0U,45,HP,0,NA
BB25,IO_L6N_T0U_N11_AD6N_45,0U,45,HP,0,NA
BB26,IO_L5P_T0U_N8_AD14P_45,0U,45,HP,0,NA
BC26,IO_L5N_T0U_N9_AD14N_45,0U,45,HP,0,NA
BC24,IO_L4P_T0U_N6_DBC_AD7P_45,0U,45,HP,0,NA
BD24,IO_L4N_T0U_N7_DBC_AD7N_45,0U,45,HP,0,NA
BB27,IO_L3P_T0L_N4_AD15P_45,0L,45,HP,0,NA
BC27,IO_L3N_T0L_N5_AD15N_45,0L,45,HP,0,NA
BD25,IO_L2P_T0L_N2_45,0L,45,HP,0,NA
BD26,IO_L2N_T0L_N3_45,0L,45,HP,0,NA
BA28,IO_T0U_N12_VRP_45,0U,45,HP,0,NA
BC28,IO_L1P_T0L_N0_DBC_45,0L,45,HP,0,NA
BD28,IO_L1N_T0L_N1_DBC_45,0L,45,HP,0,NA
AJ25,VREF_45,NA,45,HP,0,NA
AT37,IO_L24P_T3U_N10_46,3U,46,HP,0,NA
AT38,IO_L24N_T3U_N11_46,3U,46,HP,0,NA
AR36,IO_T3U_N12_46,3U,46,HP,0,NA
AR37,IO_L23P_T3U_N8_46,3U,46,HP,0,NA
AR38,IO_L23N_T3U_N9_46,3U,46,HP,0,NA
AU36,IO_L22P_T3U_N6_DBC_AD0P_46,3U,46,HP,0,NA
AU37,IO_L22N_T3U_N7_DBC_AD0N_46,3U,46,HP,0,NA
AR39,IO_L21P_T3L_N4_AD8P_46,3L,46,HP,0,NA
AT39,IO_L21N_T3L_N5_AD8N_46,3L,46,HP,0,NA
AU34,IO_L20P_T3L_N2_AD1P_46,3L,46,HP,0,NA
AU35,IO_L20N_T3L_N3_AD1N_46,3L,46,HP,0,NA
AT34,IO_L19P_T3L_N0_DBC_AD9P_46,3L,46,HP,0,NA
AT35,IO_L19N_T3L_N1_DBC_AD9N_46,3L,46,HP,0,NA
AV37,IO_L18P_T2U_N10_AD2P_46,2U,46,HP,0,NA
AV38,IO_L18N_T2U_N11_AD2N_46,2U,46,HP,0,NA
AU39,IO_L17P_T2U_N8_AD10P_46,2U,46,HP,0,NA
AV39,IO_L17N_T2U_N9_AD10N_46,2U,46,HP,0,NA
AW34,IO_L16P_T2U_N6_QBC_AD3P_46,2U,46,HP,0,NA
AW35,IO_L16N_T2U_N7_QBC_AD3N_46,2U,46,HP,0,NA
AW38,IO_L15P_T2L_N4_AD11P_46,2L,46,HP,0,NA
AW39,IO_L15N_T2L_N5_AD11N_46,2L,46,HP,0,NA
AY35,IO_L14P_T2L_N2_GC_46,2L,46,HP,0,NA
AY36,IO_L14N_T2L_N3_GC_46,2L,46,HP,0,NA
AV34,IO_T2U_N12_46,2U,46,HP,0,NA
AV36,IO_L13P_T2L_N0_GC_QBC_46,2L,46,HP,0,NA
AW36,IO_L13N_T2L_N1_GC_QBC_46,2L,46,HP,0,NA
BA37,IO_L12P_T1U_N10_GC_46,1U,46,HP,0,NA
BB37,IO_L12N_T1U_N11_GC_46,1U,46,HP,0,NA
BA39,IO_T1U_N12_46,1U,46,HP,0,NA
AY37,IO_L11P_T1U_N8_GC_46,1U,46,HP,0,NA
AY38,IO_L11N_T1U_N9_GC_46,1U,46,HP,0,NA
BC38,IO_L10P_T1U_N6_QBC_AD4P_46,1U,46,HP,0,NA
BD38,IO_L10N_T1U_N7_QBC_AD4N_46,1U,46,HP,0,NA
BA38,IO_L9P_T1L_N4_AD12P_46,1L,46,HP,0,NA
BB39,IO_L9N_T1L_N5_AD12N_46,1L,46,HP,0,NA
BB36,IO_L8P_T1L_N2_AD5P_46,1L,46,HP,0,NA
BC37,IO_L8N_T1L_N3_AD5N_46,1L,46,HP,0,NA
BC39,IO_L7P_T1L_N0_QBC_AD13P_46,1L,46,HP,0,NA
BD39,IO_L7N_T1L_N1_QBC_AD13N_46,1L,46,HP,0,NA
BD35,IO_L6P_T0U_N10_AD6P_46,0U,46,HP,0,NA
BD36,IO_L6N_T0U_N11_AD6N_46,0U,46,HP,0,NA
BB35,IO_L5P_T0U_N8_AD14P_46,0U,46,HP,0,NA
BC36,IO_L5N_T0U_N9_AD14N_46,0U,46,HP,0,NA
BC34,IO_L4P_T0U_N6_DBC_AD7P_46,0U,46,HP,0,NA
BD34,IO_L4N_T0U_N7_DBC_AD7N_46,0U,46,HP,0,NA
BA34,IO_L3P_T0L_N4_AD15P_46,0L,46,HP,0,NA
BA35,IO_L3N_T0L_N5_AD15N_46,0L,46,HP,0,NA
BC33,IO_L2P_T0L_N2_46,0L,46,HP,0,NA
BD33,IO_L2N_T0L_N3_46,0L,46,HP,0,NA
AY33,IO_T0U_N12_VRP_46,0U,46,HP,0,NA
BA33,IO_L1P_T0L_N0_DBC_46,0L,46,HP,0,NA
BB34,IO_L1N_T0L_N1_DBC_46,0L,46,HP,0,NA
AR35,VREF_46,NA,46,HP,0,NA
AC35,IO_L24P_T3U_N10_47,3U,47,HP,0,NA
AD35,IO_L24N_T3U_N11_47,3U,47,HP,0,NA
AD34,IO_T3U_N12_47,3U,47,HP,0,NA
AE31,IO_L23P_T3U_N8_47,3U,47,HP,0,NA
AE32,IO_L23N_T3U_N9_47,3U,47,HP,0,NA
AE35,IO_L22P_T3U_N6_DBC_AD0P_47,3U,47,HP,0,NA
AF35,IO_L22N_T3U_N7_DBC_AD0N_47,3U,47,HP,0,NA
AE33,IO_L21P_T3L_N4_AD8P_47,3L,47,HP,0,NA
AF33,IO_L21N_T3L_N5_AD8N_47,3L,47,HP,0,NA
AF34,IO_L20P_T3L_N2_AD1P_47,3L,47,HP,0,NA
AG34,IO_L20N_T3L_N3_AD1N_47,3L,47,HP,0,NA
AF32,IO_L19P_T3L_N0_DBC_AD9P_47,3L,47,HP,0,NA
AG32,IO_L19N_T3L_N1_DBC_AD9N_47,3L,47,HP,0,NA
AG29,IO_L18P_T2U_N10_AD2P_47,2U,47,HP,0,NA
AH29,IO_L18N_T2U_N11_AD2N_47,2U,47,HP,0,NA
AG30,IO_L17P_T2U_N8_AD10P_47,2U,47,HP,0,NA
AG31,IO_L17N_T2U_N9_AD10N_47,2U,47,HP,0,NA
AJ29,IO_L16P_T2U_N6_QBC_AD3P_47,2U,47,HP,0,NA
AJ30,IO_L16N_T2U_N7_QBC_AD3N_47,2U,47,HP,0,NA
AJ28,IO_L15P_T2L_N4_AD11P_47,2L,47,HP,0,NA
AK28,IO_L15N_T2L_N5_AD11N_47,2L,47,HP,0,NA
AH31,IO_L14P_T2L_N2_GC_47,2L,47,HP,0,NA
AJ31,IO_L14N_T2L_N3_GC_47,2L,47,HP,0,NA
AF30,IO_T2U_N12_47,2U,47,HP,0,NA
AK30,IO_L13P_T2L_N0_GC_QBC_47,2L,47,HP,0,NA
AK31,IO_L13N_T2L_N1_GC_QBC_47,2L,47,HP,0,NA
AK32,IO_L12P_T1U_N10_GC_47,1U,47,HP,0,NA
AK33,IO_L12N_T1U_N11_GC_47,1U,47,HP,0,NA
AG35,IO_T1U_N12_47,1U,47,HP,0,NA
AH32,IO_L11P_T1U_N8_GC_47,1U,47,HP,0,NA
AJ33,IO_L11N_T1U_N9_GC_47,1U,47,HP,0,NA
AK35,IO_L10P_T1U_N6_QBC_AD4P_47,1U,47,HP,0,NA
AL35,IO_L10N_T1U_N7_QBC_AD4N_47,1U,47,HP,0,NA
AH33,IO_L9P_T1L_N4_AD12P_47,1L,47,HP,0,NA
AH34,IO_L9N_T1L_N5_AD12N_47,1L,47,HP,0,NA
AL33,IO_L8P_T1L_N2_AD5P_47,1L,47,HP,0,NA
AL34,IO_L8N_T1L_N3_AD5N_47,1L,47,HP,0,NA
AJ34,IO_L7P_T1L_N0_QBC_AD13P_47,1L,47,HP,0,NA
AJ35,IO_L7N_T1L_N1_QBC_AD13N_47,1L,47,HP,0,NA
AN36,IO_L6P_T0U_N10_AD6P_47,0U,47,HP,0,NA
AP36,IO_L6N_T0U_N11_AD6N_47,0U,47,HP,0,NA
AL32,IO_L5P_T0U_N8_AD14P_47,0U,47,HP,0,NA
AM32,IO_L5N_T0U_N9_AD14N_47,0U,47,HP,0,NA
AM37,IO_L4P_T0U_N6_DBC_AD7P_47,0U,47,HP,0,NA
AN37,IO_L4N_T0U_N7_DBC_AD7N_47,0U,47,HP,0,NA
AM34,IO_L3P_T0L_N4_AD15P_47,0L,47,HP,0,NA
AN34,IO_L3N_T0L_N5_AD15N_47,0L,47,HP,0,NA
AP34,IO_L2P_T0L_N2_47,0L,47,HP,0,NA
AP35,IO_L2N_T0L_N3_47,0L,47,HP,0,NA
AN33,IO_T0U_N12_VRP_47,0U,47,HP,0,NA
AM35,IO_L1P_T0L_N0_DBC_47,0L,47,HP,0,NA
AM36,IO_L1N_T0L_N1_DBC_47,0L,47,HP,0,NA
AH28,VREF_47,NA,47,HP,0,NA
M34,IO_L24P_T3U_N10_50,3U,50,HP,1,NA
L34,IO_L24N_T3U_N11_50,3U,50,HP,1,NA
K35,IO_T3U_N12_50,3U,50,HP,1,NA
N31,IO_L23P_T3U_N8_50,3U,50,HP,1,NA
M31,IO_L23N_T3U_N9_50,3U,50,HP,1,NA
N32,IO_L22P_T3U_N6_DBC_AD0P_50,3U,50,HP,1,NA
M32,IO_L22N_T3U_N7_DBC_AD0N_50,3U,50,HP,1,NA
L32,IO_L21P_T3L_N4_AD8P_50,3L,50,HP,1,NA
K32,IO_L21N_T3L_N5_AD8N_50,3L,50,HP,1,NA
N33,IO_L20P_T3L_N2_AD1P_50,3L,50,HP,1,NA
N34,IO_L20N_T3L_N3_AD1N_50,3L,50,HP,1,NA
L33,IO_L19P_T3L_N0_DBC_AD9P_50,3L,50,HP,1,NA
K33,IO_L19N_T3L_N1_DBC_AD9N_50,3L,50,HP,1,NA
N37,IO_L18P_T2U_N10_AD2P_50,2U,50,HP,1,NA
M37,IO_L18N_T2U_N11_AD2N_50,2U,50,HP,1,NA
M35,IO_L17P_T2U_N8_AD10P_50,2U,50,HP,1,NA
L35,IO_L17N_T2U_N9_AD10N_50,2U,50,HP,1,NA
P36,IO_L16P_T2U_N6_QBC_AD3P_50,2U,50,HP,1,NA
N36,IO_L16N_T2U_N7_QBC_AD3N_50,2U,50,HP,1,NA
M36,IO_L15P_T2L_N4_AD11P_50,2L,50,HP,1,NA
L37,IO_L15N_T2L_N5_AD11N_50,2L,50,HP,1,NA
P34,IO_L14P_T2L_N2_GC_50,2L,50,HP,1,NA
P35,IO_L14N_T2L_N3_GC_50,2L,50,HP,1,NA
R35,IO_T2U_N12_50,2U,50,HP,1,NA
R33,IO_L13P_T2L_N0_GC_QBC_50,2L,50,HP,1,NA
P33,IO_L13N_T2L_N1_GC_QBC_50,2L,50,HP,1,NA
T32,IO_L12P_T1U_N10_GC_50,1U,50,HP,1,NA
R32,IO_L12N_T1U_N11_GC_50,1U,50,HP,1,NA
V31,IO_T1U_N12_50,1U,50,HP,1,NA
R31,IO_L11P_T1U_N8_GC_50,1U,50,HP,1,NA
P31,IO_L11N_T1U_N9_GC_50,1U,50,HP,1,NA
R30,IO_L10P_T1U_N6_QBC_AD4P_50,1U,50,HP,1,NA
P30,IO_L10N_T1U_N7_QBC_AD4N_50,1U,50,HP,1,NA
U29,IO_L9P_T1L_N4_AD12P_50,1L,50,HP,1,NA
T29,IO_L9N_T1L_N5_AD12N_50,1L,50,HP,1,NA
U31,IO_L8P_T1L_N2_AD5P_50,1L,50,HP,1,NA
U32,IO_L8N_T1L_N3_AD5N_50,1L,50,HP,1,NA
U30,IO_L7P_T1L_N0_QBC_AD13P_50,1L,50,HP,1,NA
T30,IO_L7N_T1L_N1_QBC_AD13N_50,1L,50,HP,1,NA
T33,IO_L6P_T0U_N10_AD6P_50,0U,50,HP,1,NA
T34,IO_L6N_T0U_N11_AD6N_50,0U,50,HP,1,NA
V32,IO_L5P_T0U_N8_AD14P_50,0U,50,HP,1,NA
V33,IO_L5N_T0U_N9_AD14N_50,0U,50,HP,1,NA
U35,IO_L4P_T0U_N6_DBC_AD7P_50,0U,50,HP,1,NA
T35,IO_L4N_T0U_N7_DBC_AD7N_50,0U,50,HP,1,NA
W33,IO_L3P_T0L_N4_AD15P_50,0L,50,HP,1,NA
W34,IO_L3N_T0L_N5_AD15N_50,0L,50,HP,1,NA
V34,IO_L2P_T0L_N2_50,0L,50,HP,1,NA
U34,IO_L2N_T0L_N3_50,0L,50,HP,1,NA
AA35,IO_T0U_N12_VRP_50,0U,50,HP,1,NA
Y35,IO_L1P_T0L_N0_DBC_50,0L,50,HP,1,NA
W35,IO_L1N_T0L_N1_DBC_50,0L,50,HP,1,NA
W31,VREF_50,NA,50,HP,1,NA
A33,IO_L24P_T3U_N10_51,3U,51,HP,1,NA
A34,IO_L24N_T3U_N11_51,3U,51,HP,1,NA
E33,IO_T3U_N12_51,3U,51,HP,1,NA
B34,IO_L23P_T3U_N8_51,3U,51,HP,1,NA
A35,IO_L23N_T3U_N9_51,3U,51,HP,1,NA
B35,IO_L22P_T3U_N6_DBC_AD0P_51,3U,51,HP,1,NA
B36,IO_L22N_T3U_N7_DBC_AD0N_51,3U,51,HP,1,NA
D33,IO_L21P_T3L_N4_AD8P_51,3L,51,HP,1,NA
C33,IO_L21N_T3L_N5_AD8N_51,3L,51,HP,1,NA
D34,IO_L20P_T3L_N2_AD1P_51,3L,51,HP,1,NA
C34,IO_L20N_T3L_N3_AD1N_51,3L,51,HP,1,NA
E35,IO_L19P_T3L_N0_DBC_AD9P_51,3L,51,HP,1,NA
D35,IO_L19N_T3L_N1_DBC_AD9N_51,3L,51,HP,1,NA
B37,IO_L18P_T2U_N10_AD2P_51,2U,51,HP,1,NA
A37,IO_L18N_T2U_N11_AD2N_51,2U,51,HP,1,NA
D36,IO_L17P_T2U_N8_AD10P_51,2U,51,HP,1,NA
C36,IO_L17N_T2U_N9_AD10N_51,2U,51,HP,1,NA
D38,IO_L16P_T2U_N6_QBC_AD3P_51,2U,51,HP,1,NA
C38,IO_L16N_T2U_N7_QBC_AD3N_51,2U,51,HP,1,NA
D39,IO_L15P_T2L_N4_AD11P_51,2L,51,HP,1,NA
C39,IO_L15N_T2L_N5_AD11N_51,2L,51,HP,1,NA
E36,IO_L14P_T2L_N2_GC_51,2L,51,HP,1,NA
E37,IO_L14N_T2L_N3_GC_51,2L,51,HP,1,NA
C37,IO_T2U_N12_51,2U,51,HP,1,NA
F37,IO_L13P_T2L_N0_GC_QBC_51,2L,51,HP,1,NA
E38,IO_L13N_T2L_N1_GC_QBC_51,2L,51,HP,1,NA
G35,IO_L12P_T1U_N10_GC_51,1U,51,HP,1,NA
G36,IO_L12N_T1U_N11_GC_51,1U,51,HP,1,NA
F33,IO_T1U_N12_51,1U,51,HP,1,NA
